id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
Ez9cE,0.877685174,2.62,Adam,128,2,LeakyReLU_0.1,none,30,60
Y5EFo,0.877496094,1.90,Adam,128,4,LeakyReLU_0.1,none,20,20
w0Jja,0.87749557,2.24,Adam,32,32,LeakyReLU_0.05,none,30,20
LKIHp,0.877435997,1.95,Adam,128,8,LeakyReLU_0.05,none,30,20
iKNZc,0.876945219,1.81,Adam,64,16,LeakyReLU_0.05,none,30,20
VU6Ji,0.876682659,6.54,Adam,32,8,LeakyReLU_0.05,none,10,60
mzOmc,0.87660819,6.60,Adam,32,8,LeakyReLU_0.01,none,10,60
qETZv,0.876564548,2.92,Adam,128,4,LeakyReLU_0.01,none,10,20
pYnr0,0.876472127,4.21,Adam,128,2,LeakyReLU_0.01,BatchNorm,30,60
KIdYx,0.876437552,2.34,Adam,64,16,relu,none,20,20
VrcdK,0.87586056,2.72,Adam,32,8,LeakyReLU_0.1,none,10,20
F0X65,0.875765812,1.72,Adam,32,2,LeakyReLU_0.05,BatchNorm,30,20
KmDpI,0.875762754,1.68,Adam,64,8,LeakyReLU_0.05,none,30,20
EyNS8,0.875555602,3.35,Adam,16,16,LeakyReLU_0.05,none,30,60
IdbBW,0.875536889,2.06,Adam,16,16,LeakyReLU_0.01,none,20,20
P2dTS,0.875408751,1.83,Adam,128,2,LeakyReLU_0.01,BatchNorm,30,20
qOEhz,0.875231558,1.57,Adam,16,2,LeakyReLU_0.1,BatchNorm,30,20
HBTU5,0.875024473,3.33,Adam,16,16,LeakyReLU_0.1,none,10,20
sl9V4,0.875011331,2.07,Adam,32,2,LeakyReLU_0.1,BatchNorm,20,20
QIsWP,0.87430521,5.50,Adam,128,16,relu,none,10,20
G2qoD,0.874210207,4.68,Adam,32,32,LeakyReLU_0.05,none,10,20
TIfFY,0.87417196,2.76,Adam,32,32,LeakyReLU_0.05,none,20,20
kmFnW,0.873153749,2.43,Adam,64,2,LeakyReLU_0.01,none,30,60
O7L0D,0.872885479,3.07,Adam,64,8,relu,none,30,60
QVhJW,0.872715251,3.31,Adam,64,32,relu,none,20,20
CLMk1,0.872593137,2.35,Adam,64,2,LeakyReLU_0.01,none,30,60
EwBpp,0.872550738,5.45,Adam,64,2,relu,none,10,60
iMgAm,0.872411074,5.47,Adam,64,32,relu,none,10,20
yuSsJ,0.872031782,2.58,Adam,64,4,LeakyReLU_0.05,none,30,60
Q1kIC,0.872019729,1.83,Adam,128,4,relu,none,20,20
RPg4H,0.871827443,2.34,Adam,128,2,LeakyReLU_0.05,BatchNorm,20,20
LBYcN,0.870681679,4.81,Adam,64,2,LeakyReLU_0.1,BatchNorm,20,60
fpK8q,0.870674624,2.71,Adam,16,8,LeakyReLU_0.01,none,30,60
edCYH,0.870239942,2.05,Adam,16,2,LeakyReLU_0.01,BatchNorm,20,20
tU0Cn,0.870009105,1.96,Adam,32,2,relu,BatchNorm,20,20
jtyoF,0.86977491,1.33,Adam,32,4,LeakyReLU_0.05,none,30,20
