id,r2score,duration (min),activation,dropout,optimizer,neurons_width,hidden_layers,batch_size
eFL9Y,0.0000,31.03,LeakyReLU_0.01,TRUE,Adadelta,32,2,24
GtFGP,0.0000,26.36,LeakyReLU_0.05,TRUE,Adadelta,64,2,24
R6hWr,0.0000,25.52,LeakyReLU_0.01,FALSE,Adadelta,32,4,24
Czmb1,0.0000,26.19,elu,TRUE,Adam,16,4,12
k6Bsy,0.0000,11.80,LeakyReLU_0.01,TRUE,Adadelta,32,2,72
sAW1e,0.0000,35.47,elu,FALSE,RMSProp,32,16,6
r4mZR,0.0000,37.15,elu,TRUE,Adadelta,16,32,24
hUfsx,0.0000,26.54,LeakyReLU_0.01,TRUE,Adam,128,8,12
M7LhY,0.0000,5.62,selu,TRUE,Adam,16,2,48
GNzGT,0.0000,9.67,relu,FALSE,Adadelta,32,4,48
E0qOB,0.0000,1.67,elu,FALSE,Adadelta,16,16,72
Y9Drd,0.0000,16.47,LeakyReLU_0.1,TRUE,RMSProp,32,16,48
yno1t,0.0000,23.87,relu,TRUE,Adagrad,16,4,12
egpCr,0.0000,22.42,LeakyReLU_0.1,TRUE,Adagrad,64,8,24
aEX4I,0.0000,23.97,LeakyReLU_0.05,TRUE,Adagrad,32,4,24
QatAQ,0.0000,5.77,elu,TRUE,Adam,16,2,72
fkFN6,0.0000,19.91,relu,TRUE,Adadelta,32,8,48
j2Xtr,0.0000,106.49,elu,FALSE,Adadelta,16,4,6
pNoe1,0.0000,24.91,selu,TRUE,Adadelta,64,2,48
YAuyp,0.0000,23.58,elu,TRUE,RMSProp,32,16,24
SBArJ,0.0000,9.83,selu,TRUE,Adagrad,64,8,72
f416n,0.0000,52.83,LeakyReLU_0.1,TRUE,Adagrad,128,8,24
OeDzm,0.0000,20.90,selu,FALSE,Adam,64,16,24
MzhTj,0.0000,75.58,relu,TRUE,RMSProp,64,4,6
YTWav,0.0000,32.73,LeakyReLU_0.1,TRUE,Adam,64,8,24
FkqRd,0.0000,43.04,LeakyReLU_0.1,TRUE,Adam,128,8,24
rw5jp,0.0000,54.24,LeakyReLU_0.1,TRUE,Adam,32,32,24
T4Ps9,0.0000,6.56,selu,TRUE,Adam,16,2,48
yzaBN,0.0000,95.43,LeakyReLU_0.01,FALSE,Adagrad,32,2,6
gkaz4,0.0000,19.99,LeakyReLU_0.05,TRUE,RMSProp,32,16,72
hsD22,0.0000,5.10,selu,FALSE,Adadelta,32,32,72
lizjL,0.0000,12.69,selu,FALSE,Adagrad,64,4,72
o20HV,0.0000,18.02,relu,TRUE,Adam,64,16,48
RWCZA,0.0000,13.11,elu,TRUE,RMSProp,16,16,72
LTez0,0.0000,1.47,LeakyReLU_0.1,FALSE,Adagrad,64,8,72
v4u94,0.0000,70.79,LeakyReLU_0.05,TRUE,Adam,128,8,6
la0yx,0.0000,14.20,LeakyReLU_0.1,TRUE,RMSProp,16,4,24
C5Jah,0.0000,243.09,selu,FALSE,RMSProp,64,32,12
z02BU,0.0000,54.76,LeakyReLU_0.01,FALSE,Adadelta,32,4,12
xyUVC,0.0000,21.35,selu,TRUE,RMSProp,32,8,6
dEbCj,0.0000,4.40,relu,TRUE,RMSProp,16,4,72
PMufy,0.0000,25.41,LeakyReLU_0.01,TRUE,Adadelta,128,8,72
r9xPJ,0.0000,29.21,LeakyReLU_0.05,TRUE,Adam,64,2,24
eyy2c,0.0000,21.20,LeakyReLU_0.05,FALSE,RMSProp,128,32,72
zAdYA,0.0000,77.84,LeakyReLU_0.05,FALSE,Adagrad,16,4,6
Y0szq,0.0000,29.55,selu,TRUE,Adadelta,128,32,72
pNnHI,0.0000,2.14,selu,FALSE,Adadelta,128,2,72
ZNRQv,0.0000,2.25,LeakyReLU_0.05,FALSE,Adagrad,64,4,24
OuKpj,0.0000,23.53,LeakyReLU_0.01,TRUE,RMSProp,128,8,12
ShhwY,0.0000,42.24,selu,FALSE,Adadelta,128,2,24
mcNaE,0.0000,17.59,elu,TRUE,Adadelta,32,32,72
mYPol,0.0000,9.86,LeakyReLU_0.01,FALSE,Adadelta,64,2,48
J25JG,0.0000,15.46,LeakyReLU_0.01,TRUE,RMSProp,64,32,72
NtUz3,0.0000,29.54,elu,FALSE,Adadelta,64,2,24
d3xgH,0.0000,54.53,relu,TRUE,Adagrad,32,2,6
Xw0xC,0.0000,72.40,elu,TRUE,Adam,32,8,6
E45wd,0.0000,1.27,LeakyReLU_0.05,FALSE,Adadelta,64,4,72
zgTvP,0.0000,14.01,relu,TRUE,RMSProp,32,8,48
RH17T,0.0000,16.03,LeakyReLU_0.05,FALSE,Adagrad,16,32,48
dg1du,0.0000,24.64,LeakyReLU_0.1,TRUE,Adagrad,64,8,24
lumHi,0.0000,30.50,LeakyReLU_0.1,TRUE,Adam,64,16,48
paQbd,0.0000,33.52,elu,FALSE,Adadelta,32,32,48
Hy2PH,0.0000,76.23,elu,TRUE,RMSProp,128,4,12
wjYoi,0.0000,6.93,selu,TRUE,Adagrad,32,2,48
FHNhl,0.0000,15.54,LeakyReLU_0.01,TRUE,RMSProp,64,32,72
QvIwr,0.0000,42.52,LeakyReLU_0.1,TRUE,Adadelta,64,8,24
RFWng,0.0000,66.90,LeakyReLU_0.05,TRUE,Adam,64,2,6
gzZHf,0.0000,20.84,LeakyReLU_0.01,TRUE,Adam,32,16,48
PYKyQ,0.0000,18.75,LeakyReLU_0.1,TRUE,Adagrad,16,16,48
bCFoM,0.0000,19.76,LeakyReLU_0.1,TRUE,Adagrad,16,8,24
eKrMV,0.0000,127.34,LeakyReLU_0.05,TRUE,Adadelta,16,4,6
YBjKJ,0.0000,73.50,LeakyReLU_0.1,TRUE,Adadelta,128,8,24
lSken,0.0000,49.42,LeakyReLU_0.05,TRUE,Adam,64,16,24
m0Joe,0.0000,40.69,LeakyReLU_0.1,TRUE,Adagrad,128,4,24
ooinK,0.0000,20.75,LeakyReLU_0.1,TRUE,Adam,64,4,24
m31E1,0.0000,33.32,LeakyReLU_0.1,TRUE,Adam,64,8,24
V8Oce,0.0000,28.13,LeakyReLU_0.05,TRUE,Adam,128,4,48
BFE8j,0.0000,24.90,LeakyReLU_0.1,TRUE,Adagrad,64,8,24
QIs8d,0.0000,1.55,relu,FALSE,Adadelta,32,8,72
lGGvw,0.0000,12.70,LeakyReLU_0.05,TRUE,Adam,32,8,48
Vfs4G,0.0000,27.42,LeakyReLU_0.1,TRUE,Adagrad,64,4,24
Xh2Bm,0.0000,26.71,relu,TRUE,Adam,32,4,12
ylk3M,0.0000,37.63,LeakyReLU_0.1,TRUE,Adadelta,64,4,24
JTXOk,0.0000,21.61,LeakyReLU_0.1,TRUE,Adam,64,4,24
WlvGV,0.0000,43.19,LeakyReLU_0.1,TRUE,Adadelta,64,8,24
xQSSR,0.0000,79.22,LeakyReLU_0.1,TRUE,Adadelta,128,8,24
KL7Di,0.0000,29.22,relu,TRUE,Adadelta,128,4,48
TnfGa,0.0000,44.77,LeakyReLU_0.1,TRUE,Adam,128,8,24
PHBBw,0.0000,23.20,LeakyReLU_0.1,TRUE,Adam,16,8,24
L7YUH,0.0000,3.99,LeakyReLU_0.01,FALSE,Adadelta,32,32,72
BIjnh,0.0000,8.52,elu,TRUE,Adam,16,2,72
AH7pI,0.0000,41.91,LeakyReLU_0.1,TRUE,Adadelta,64,8,24
bzdYY,0.0000,9.23,LeakyReLU_0.1,FALSE,Adagrad,128,2,72
